inside tagger function

getting E values...
underneath|ADP=4.55504775208e-05
physics|NOUN=4.14010101846e-05
$0.9|NOUN=8.28020203693e-06
hundred|NUM=0.0124549819928
red|ADJ=0.00175505950749
tubes|NOUN=0.000149043636665
unpicturesque|ADJ=2.74228048045e-05
trajectory|NOUN=8.28020203693e-06
trappings|NOUN=8.28020203693e-06
Free|ADJ=5.4845609609e-05
appearances|NOUN=2.48406061108e-05
Jan|NOUN=2.48406061108e-05
jarred|VERB=1.11400753069e-05
breakfasted|VERB=1.11400753069e-05
space|NOUN=0.000819740001656
electrical|ADJ=0.000493610486481
fabricate|VERB=1.11400753069e-05
l'Osservatore|X=0.00169491525424
sleepily|ADV=7.22465050753e-05
teams|NOUN=6.62416162954e-05
left-hand|NOUN=3.31208081477e-05
pensioner|NOUN=8.28020203693e-06
respiration|NOUN=1.65604040739e-05
dribbled|VERB=1.11400753069e-05
Hush|NOUN=8.28020203693e-06
disturbances|NOUN=2.48406061108e-05
hid|VERB=4.45603012276e-05
comfortably|ADV=0.000252862767764
fines|NOUN=8.28020203693e-06
indignation|NOUN=4.96812122216e-05
Gargery's|NOUN=8.28020203693e-06
leadership|NOUN=0.000198724848886
lavatory|NOUN=1.65604040739e-05
49|NUM=0.00015006002401
receptionist|NOUN=4.14010101846e-05
Bullfinch|NOUN=8.28020203693e-06
Ancistrodon|NOUN=8.28020203693e-06
befoh|ADP=1.51834925069e-05
p.|NOUN=8.28020203693e-05
airily|ADV=3.61232525377e-05
Detailed|VERB=2.22801506138e-05
Reaching|VERB=4.45603012276e-05
busier|ADJ=2.74228048045e-05
one-shot|ADJ=0.000164536828827
splitting|VERB=1.11400753069e-05
lean|ADJ=0.00024680524324
questionable|ADJ=5.4845609609e-05
baths|NOUN=1.65604040739e-05
Wavy|ADJ=2.74228048045e-05
turf|NOUN=1.65604040739e-05
gadgets|NOUN=8.28020203693e-06
thickest|ADJ=2.74228048045e-05
extractor|NOUN=8.28020203693e-06
gratifying|ADJ=2.74228048045e-05
Carroll|NOUN=8.28020203693e-06
turbine|NOUN=3.31208081477e-05
bandoleers|NOUN=8.28020203693e-06
bloc|NOUN=1.65604040739e-05
fear|VERB=6.68404518415e-05
Swim|VERB=1.11400753069e-05
secret|NOUN=0.000140763434628
respecting|VERB=2.22801506138e-05
supporting|VERB=0.000167101129604
