('PRT', 'CONJ', '.') = 1
('PRT', 'DET', 'CONJ') = 1
('NOUN', 'NUM', 'X') = 1
('NUM', 'NUM', 'PRON') = 1
('.', 'CONJ', 'CONJ') = 1
('ADV', '.', 'X') = 1
('NOUN', 'X', 'STOP') = 1
('NUM', 'ADJ', 'NUM') = 1
('PRON', 'DET', 'NUM') = 1
('ADV', 'PRON', 'ADJ') = 1
('X', 'NOUN', 'NUM') = 1
('ADV', 'X', 'X') = 1
('ADV', 'PRON', 'ADP') = 1
('DET', 'VERB', 'X') = 1
('PRON', 'X', 'ADP') = 1
('ADJ', 'PRON', 'ADP') = 1
('CONJ', 'CONJ', 'NOUN') = 1
('NOUN', 'X', 'DET') = 1
('NUM', 'X', 'X') = 1
('CONJ', 'X', 'PRON') = 1
('ADJ', 'CONJ', 'X') = 1
('ADP', 'VERB', 'X') = 1
('CONJ', 'ADP', 'X') = 1
('ADP', 'X', 'ADV') = 1
('X', 'PRON', 'ADV') = 1
('ADJ', 'PRT', 'PRON') = 1
('NOUN', 'PRT', 'PRON') = 1
('NUM', 'VERB', 'CONJ') = 1
('X', 'CONJ', 'ADV') = 1
('NUM', 'NUM', 'ADV') = 1
('PRON', 'NUM', 'VERB') = 1
('X', 'ADV', 'ADV') = 1
('PRON', '.', 'X') = 1
('PRON', 'ADJ', 'PRON') = 1
('.', 'ADJ', 'NUM') = 1
('', 'X', 'VERB') = 1
('X', 'ADV', 'NOUN') = 1
('PRON', 'NUM', 'CONJ') = 1
('.', 'X', 'PRT') = 1
('PRON', 'PRON', 'PRT') = 1
('ADP', 'CONJ', 'PRON') = 1
('X', 'NOUN', 'PRON') = 1
('', 'CONJ', 'CONJ') = 1
('PRT', '.', 'X') = 1
('.', 'PRON', 'NUM') = 1
('ADP', 'X', 'NOUN') = 1
('PRON', 'PRON', 'PRON') = 1
('PRON', 'PRT', 'NUM') = 1
('VERB', 'NUM', 'X') = 1
('DET', 'PRON', 'PRT') = 1
('X', 'X', 'PRON') = 1
('ADJ', 'X', 'ADP') = 1
('', 'ADP', 'X') = 1
('VERB', 'ADV', 'X') = 1
('NUM', 'ADJ', 'PRON') = 1
('NUM', 'PRT', 'ADJ') = 1
('X', 'X', 'ADJ') = 1
('NUM', 'CONJ', 'PRT') = 1
('DET', 'CONJ', 'NUM') = 1
('X', 'PRT', '.') = 1
('NOUN', 'PRON', 'NUM') = 1
('NUM', 'ADP', 'CONJ') = 1
('DET', 'DET', 'NUM') = 1
('CONJ', 'PRON', 'ADJ') = 1
('DET', 'DET', 'PRT') = 1
('CONJ', 'X', 'ADP') = 1
('ADV', 'X', 'DET') = 1
('ADJ', 'PRON', 'NOUN') = 1
('ADJ', 'DET', 'NUM') = 1
('DET', 'DET', 'CONJ') = 1
('PRON', 'ADP', 'CONJ') = 1
('', 'X', 'ADP') = 1
('X', 'DET', 'ADV') = 1
('ADP', 'CONJ', 'NUM') = 1
('PRT', 'PRON', 'ADP') = 1
('PRON', 'VERB', 'X') = 1
('X', 'ADJ', 'VERB') = 1
('VERB', 'PRON', 'X') = 1
('.', 'VERB', 'X') = 1
('', 'ADV', 'X') = 1
